#contig	Length	B0H_VFD_S52	B0H_VFN_S44	B0L_VFD_S51	B0L_VFN_S43	B2R2H_VFD_S54	B2R2H_VFN_S46	B2R2L_VFD_S53	B2R2L_VFN_S45	B3R2H_VFD_S55	B3R2H_VFN_S48	B3R2L_VFN_S47	B8R2H_VFD_S57	B8R2H_VFN_S50	B8R2L_VFD_S56	B8R2L_VFN_S49
VIRSorter_Contig_4471-circular-cat_1	53884	5719.0000	4806.0000	9709.0000	10393.0000	5465.0000	2686.0000	17377.0000	9736.0000	9876.0000	3171.0000	4910.0000	23891.0000	19255.0000	20780.0000	13340.0000
VIRSorter_Contig_2793-circular-cat_1	36200	8.0000	2.0000	2.0000	0.0000	6.0000	4.0000	8.0000	4.0000	4312.0000	2809.0000	0.0000	44.0000	32.0000	0.0000	4.0000
VIRSorter_Contig_2728-circular-cat_1	45839	669.0000	240.0000	361.0000	472.0000	828.0000	342.0000	2101.0000	1677.0000	4069.0000	1581.0000	1449.0000	4552.0000	4297.0000	2390.0000	2728.0000
VIRSorter_Contig_3466-circular-cat_1	41718	1672.0000	800.0000	2194.0000	2318.0000	868.0000	681.0000	2068.0000	1212.0000	3893.0000	1596.0000	738.0000	3534.0000	2276.0000	1742.0000	990.0000
VIRSorter_Contig_2373-circular-cat_1	40235	6.0000	42.0000	190.0000	408.0000	196.0000	252.0000	4832.0000	3018.0000	4087.0000	2399.0000	34.0000	20.0000	200.0000	288.0000	682.0000
VIRSorter_Contig_2173-circular-cat_1	40235	0.0000	2.0000	4.0000	6.0000	2.0000	4.0000	91.0000	42.0000	60.0000	36.0000	0.0000	0.0000	2.0000	6.0000	20.0000
VIRSorter_Contig_1559-circular-cat_1	39677	67.0000	50.0000	178.0000	156.0000	12947.0000	108.0000	504.0000	394.0000	421.0000	530.0000	32.0000	37.0000	44.0000	930.0000	493.0000
VIRSorter_Contig_3055-circular-cat_1	44894	1238.0000	750.0000	3986.0000	3775.0000	4596.0000	2811.0000	2699.0000	2302.0000	6374.0000	3439.0000	4181.0000	2546.0000	4312.0000	9618.0000	4633.0000
VIRSorter_Contig_2791-circular-cat_1	41718	20.0000	8.0000	29.0000	32.0000	14.0000	19.0000	19.0000	12.0000	57.0000	22.0000	16.0000	18.0000	18.0000	8.0000	10.0000
VIRSorter_Contig_4320-circular-cat_1	44894	68.0000	34.0000	164.0000	183.0000	285.0000	108.0000	120.0000	103.0000	365.0000	228.0000	199.0000	119.0000	189.0000	559.0000	213.0000
VIRSorter_Contig_2785-circular-cat_1	40235	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	3.0000	0.0000	1.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000
VIRSorter_Contig_2382-circular-cat_1	53884	35.0000	28.0000	69.0000	48.0000	54.0000	21.0000	135.0000	64.0000	46.0000	15.0000	17.0000	91.0000	123.0000	82.0000	63.0000
VIRSorter_Contig_4504-circular-cat_1	44894	6.0000	0.0000	8.0000	8.0000	3.0000	2.0000	2.0000	0.0000	6.0000	3.0000	10.0000	13.0000	10.0000	9.0000	12.0000
VIRSorter_Contig_1584-circular-cat_1	69585	8.0000	0.0000	22.0000	18.0000	131300.0000	8.0000	174.0000	2.0000	3.0000	88.0000	6.0000	4.0000	10.0000	12.0000	274.0000
VIRSorter_Contig_1992-cat_1	82120	12.0000	18.0000	0.0000	7.0000	16.0000	8.0000	14959.0000	1943.0000	62.0000	9.0000	8.0000	10.0000	6.0000	11.0000	16.0000
VIRSorter_Contig_3293-cat_1	39934	32.0000	73.0000	1621.0000	1885.0000	190.0000	50.0000	234.0000	118.0000	8907.0000	605.0000	134.0000	2935.0000	2765.0000	1169.0000	132.0000
VIRSorter_Contig_1140-cat_1	26525	12.0000	16.0000	8.0000	19.0000	1461.0000	34.0000	43.0000	16.0000	18.0000	14.0000	9.0000	8.0000	20.0000	21.0000	11.0000
VIRSorter_Contig_3758-cat_1	21491	0.0000	15.0000	273.0000	246.0000	36.0000	14.0000	56.0000	24.0000	1825.0000	123.0000	26.0000	644.0000	655.0000	223.0000	26.0000
VIRSorter_Contig_2370-cat_1	19385	1975.0000	1107.0000	2253.0000	2754.0000	3260.0000	2069.0000	3430.0000	3385.0000	1743.0000	1624.0000	1110.0000	2982.0000	2317.0000	6270.0000	3696.0000
VIRSorter_Contig_246-cat_1	18139	2134.0000	1328.0000	1923.0000	1737.0000	2092.0000	1326.0000	2645.0000	1935.0000	2708.0000	1696.0000	1206.0000	2880.0000	2037.0000	3707.0000	2322.0000
VIRSorter_Contig_1000-cat_1	15543	34.0000	30.0000	46.0000	1062.0000	19.0000	38.0000	32.0000	27.0000	89.0000	32.0000	4.0000	34.0000	35.0000	49.0000	30.0000
VIRSorter_Contig_3740-cat_1	15274	1033.0000	522.0000	1197.0000	1413.0000	1768.0000	1081.0000	1878.0000	1588.0000	952.0000	750.0000	579.0000	1617.0000	1225.0000	3386.0000	1913.0000
VIRSorter_Contig_2609-cat_1	14798	28.0000	18.0000	104.0000	96.0000	55.0000	8.0000	199.0000	124.0000	791.0000	703.0000	12.0000	20.0000	18.0000	14.0000	16.0000
VIRSorter_Contig_2035-cat_1	14555	302.0000	221.0000	414.0000	313.0000	5406.0000	685.0000	1123.0000	971.0000	547.0000	376.0000	1102.0000	466.0000	253.0000	954.0000	609.0000
VIRSorter_Contig_4367-cat_1	14333	351.0000	420.0000	1351.0000	1121.0000	428.0000	194.0000	603.0000	254.0000	1342.0000	630.0000	194.0000	507.0000	574.0000	951.0000	586.0000
VIRSorter_Contig_1915-cat_1	13856	16.0000	2.0000	6.0000	11.0000	70.0000	34.0000	845.0000	377.0000	30.0000	6.0000	4.0000	13.0000	7.0000	10.0000	28.0000
VIRSorter_Contig_3505-cat_1	13665	74.0000	67.0000	153.0000	148.0000	650.0000	371.0000	232.0000	169.0000	344.0000	304.0000	145.0000	1034.0000	536.0000	122.0000	60.0000
VIRSorter_Contig_2998-cat_1	13549	1355.0000	1062.0000	1736.0000	1853.0000	1251.0000	543.0000	1200.0000	930.0000	1426.0000	1067.0000	978.0000	2999.0000	1639.0000	1464.0000	972.0000
VIRSorter_Contig_1455-cat_1	13539	148.0000	122.0000	88.0000	42.0000	1497.0000	390.0000	137.0000	143.0000	146.0000	128.0000	108.0000	68.0000	38.0000	325.0000	184.0000
VIRSorter_Contig_3305-cat_1	13353	367.0000	166.0000	378.0000	403.0000	650.0000	280.0000	753.0000	558.0000	327.0000	362.0000	274.0000	805.0000	397.0000	555.0000	394.0000
VIRSorter_Contig_3233-cat_1	13194	95.0000	16.0000	30.0000	36.0000	62.0000	54.0000	42.0000	18.0000	128.0000	76.0000	35.0000	595.0000	348.0000	361.0000	183.0000
VIRSorter_Contig_1709-cat_1	13152	149.0000	189.0000	172.0000	139.0000	544.0000	894.0000	182.0000	95.0000	543.0000	113.0000	151.0000	192.0000	123.0000	163.0000	101.0000
