#contig	Length	B0H_VFD_S52	B0H_VFN_S44	B0L_VFD_S51	B0L_VFN_S43	B2R2H_VFD_S54	B2R2H_VFN_S46	B2R2L_VFD_S53	B2R2L_VFN_S45	B3R2H_VFD_S55	B3R2H_VFN_S48	B3R2L_VFN_S47	B8R2H_VFD_S57	B8R2H_VFN_S50	B8R2L_VFD_S56	B8R2L_VFN_S49
VIRSorter_Contig_4471-circular-cat_1	53884	0.1061	0.0892	0.1802	0.1929	0.1014	0.0498	0.3225	0.1807	0.1833	0.0588	0.0911	0.4434	0.3573	0.3856	0.2476
VIRSorter_Contig_2793-circular-cat_1	36200	0.0002	0.0001	0.0001	0.0000	0.0002	0.0001	0.0002	0.0001	0.1191	0.0776	0.0000	0.0012	0.0009	0.0000	0.0001
VIRSorter_Contig_2728-circular-cat_1	45839	0.0146	0.0052	0.0079	0.0103	0.0181	0.0075	0.0458	0.0366	0.0888	0.0345	0.0316	0.0993	0.0937	0.0521	0.0595
VIRSorter_Contig_3466-circular-cat_1	41718	0.0401	0.0192	0.0526	0.0556	0.0208	0.0163	0.0496	0.0291	0.0933	0.0383	0.0177	0.0847	0.0546	0.0418	0.0237
VIRSorter_Contig_2373-circular-cat_1	40235	0.0001	0.0010	0.0047	0.0101	0.0049	0.0063	0.1201	0.0750	0.1016	0.0596	0.0008	0.0005	0.0050	0.0072	0.0170
VIRSorter_Contig_2173-circular-cat_1	40235	0.0000	0.0000	0.0001	0.0001	0.0000	0.0001	0.0023	0.0010	0.0015	0.0009	0.0000	0.0000	0.0000	0.0001	0.0005
VIRSorter_Contig_1559-circular-cat_1	39677	0.0017	0.0013	0.0045	0.0039	0.3263	0.0027	0.0127	0.0099	0.0106	0.0134	0.0008	0.0009	0.0011	0.0234	0.0124
VIRSorter_Contig_3055-circular-cat_1	44894	0.0276	0.0167	0.0888	0.0841	0.1024	0.0626	0.0601	0.0513	0.1420	0.0766	0.0931	0.0567	0.0960	0.2142	0.1032
VIRSorter_Contig_2791-circular-cat_1	41718	0.0005	0.0002	0.0007	0.0008	0.0003	0.0005	0.0005	0.0003	0.0014	0.0005	0.0004	0.0004	0.0004	0.0002	0.0002
VIRSorter_Contig_4320-circular-cat_1	44894	0.0015	0.0008	0.0037	0.0041	0.0063	0.0024	0.0027	0.0023	0.0081	0.0051	0.0044	0.0027	0.0042	0.0125	0.0047
