#contig	Length	B0H_VFD_S52_	B0H_VFN_S44_	B0L_VFD_S51_	B0L_VFN_S43_	B2R2H_VFD_S54_	B2R2H_VFN_S46_	B2R2L_VFD_S53_	B2R2L_VFN_S45_	B3R2H_VFD_S55_	B3R2H_VFN_S48_	B3R2L_VFN_S47_	B8R2H_VFD_S57_	B8R2H_VFN_S50_	B8R2L_VFD_S56_	B8R2L_VFN_S49_
VIRSorter_Contig_4471-circular-cat_1	53884	15.0070	12.5880	25.7142	27.3181	14.2489	6.9321	46.0934	25.6661	25.9995	8.1624	12.9705	63.5687	50.7107	55.1519	35.0787
VIRSorter_Contig_2793-circular-cat_1	36200	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	16.4291	10.8010	0.0000	0.0194	0.0000	0.0000	0.0000
VIRSorter_Contig_2728-circular-cat_1	45839	1.8946	0.5271	0.9406	1.2480	2.3459	0.8679	6.3747	5.0536	12.5619	4.7486	4.2882	14.1790	13.1644	7.2662	8.2408
VIRSorter_Contig_3466-circular-cat_1	41718	5.4972	2.5549	7.3004	7.7105	2.7846	2.1694	6.7838	4.0004	12.8811	5.2006	2.4168	11.9366	7.5370	5.7706	3.1465
VIRSorter_Contig_2373-circular-cat_1	40235	0.0000	0.0254	0.4843	1.2697	0.4899	0.6600	17.0254	10.5199	14.1373	8.3308	0.0045	0.0000	0.5228	0.8137	2.2123
VIRSorter_Contig_2173-circular-cat_1	40235	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000
VIRSorter_Contig_1559-circular-cat_1	39677	0.1147	0.0609	0.4480	0.3749	45.5867	0.1601	1.5893	1.1569	1.2650	1.6608	0.0000	0.0000	0.0000	3.2166	1.4915
VIRSorter_Contig_3055-circular-cat_1	44894	3.7151	2.1803	12.4093	11.5019	14.1962	8.6526	8.3342	7.0518	19.2393	10.0701	12.9665	7.7683	13.7305	30.6711	14.4898
VIRSorter_Contig_2791-circular-cat_1	41718	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000
VIRSorter_Contig_4320-circular-cat_1	44894	0.0127	0.0000	0.0269	0.0705	0.1253	0.0000	0.0000	0.0000	0.0787	0.0626	0.0322	0.0000	0.0561	0.0782	0.0428
VIRSorter_Contig_2785-circular-cat_1	40235	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000
VIRSorter_Contig_2382-circular-cat_1	53884	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000
VIRSorter_Contig_4504-circular-cat_1	44894	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000
VIRSorter_Contig_1584-circular-cat_1	69585	0.0000	0.0000	0.0000	0.0000	260.7625	0.0000	0.2014	0.0000	0.0000	0.0502	0.0000	0.0000	0.0000	0.0000	0.3756
VIRSorter_Contig_1992-cat_1	82120	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	25.6569	3.1493	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000
VIRSorter_Contig_3293-cat_1	39934	0.0000	0.1250	5.6949	6.5961	0.5090	0.0452	0.6488	0.2341	31.6284	1.9793	0.2904	10.3650	9.8529	3.9585	0.2745
VIRSorter_Contig_1140-cat_1	26525	0.0000	0.0000	0.0000	0.0000	7.6331	0.0458	0.1112	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000
VIRSorter_Contig_3758-cat_1	21491	0.0000	0.0000	0.8705	0.9368	0.0469	0.0000	0.1447	0.0000	7.2577	0.3749	0.0184	2.8114	3.1148	0.9239	0.0186
VIRSorter_Contig_2370-cat_1	19385	14.0375	8.0609	16.6600	20.0402	23.7429	14.9636	24.7926	24.8641	12.5877	11.6856	7.8950	21.8332	16.7879	46.2893	26.9015
VIRSorter_Contig_246-cat_1	18139	16.7298	10.3864	14.8718	13.5975	16.1772	10.2576	21.0446	15.2942	21.0768	13.1606	9.3871	22.6709	15.9226	28.9710	18.1687
VIRSorter_Contig_1000-cat_1	15543	0.1681	0.1228	0.1792	9.5725	0.0198	0.1411	0.1513	0.0914	0.5281	0.1502	0.0000	0.1131	0.1710	0.2590	0.1328
VIRSorter_Contig_3740-cat_1	15274	9.0304	4.4503	10.2546	12.4525	15.2182	9.4246	16.5610	13.9116	8.0095	6.4283	4.7942	13.4348	11.0619	29.8759	16.9399
VIRSorter_Contig_2609-cat_1	14798	0.1442	0.0394	0.7767	0.7502	0.2832	0.0000	1.6748	1.0349	7.5384	6.4951	0.0000	0.0573	0.0666	0.0066	0.0111
VIRSorter_Contig_2035-cat_1	14555	2.6746	1.9313	3.7698	2.7639	51.5596	6.4147	10.6461	9.3523	4.5033	3.3499	10.1600	4.3910	2.1729	8.8114	5.7031
VIRSorter_Contig_4367-cat_1	14333	3.3388	4.1750	13.5509	10.8655	3.9723	1.7093	5.8757	2.3659	13.3277	6.0135	1.7261	4.9131	5.4725	9.2930	5.7208
VIRSorter_Contig_1915-cat_1	13856	0.0169	0.0000	0.0000	0.0000	0.5184	0.2181	8.5216	3.6856	0.1142	0.0000	0.0000	0.0000	0.0000	0.0000	0.1327
VIRSorter_Contig_3505-cat_1	13665	0.3934	0.4241	1.4083	1.2834	6.5923	3.6490	2.2519	1.5620	3.3053	3.0764	1.3466	10.4348	5.1475	1.1399	0.4046
VIRSorter_Contig_2998-cat_1	13549	14.1329	11.3100	18.2151	19.3607	12.4988	5.4408	12.2923	9.6007	14.8178	11.0231	10.2848	31.2205	17.1362	15.3642	9.8177
VIRSorter_Contig_1455-cat_1	13539	1.3953	1.0670	0.7238	0.2210	14.8826	3.9435	1.2114	1.0120	1.2575	1.1190	0.8826	0.5370	0.2322	3.0412	1.7011
VIRSorter_Contig_3305-cat_1	13353	3.6933	1.6611	3.9170	4.0266	6.7310	2.8358	8.0814	5.6172	3.2801	3.6793	2.6041	8.2881	4.1052	5.6626	4.0842
VIRSorter_Contig_3233-cat_1	13194	0.8896	0.0252	0.1468	0.2327	0.4929	0.3677	0.2725	0.0667	1.1502	0.5643	0.2323	6.2742	3.5861	3.6981	1.7864
VIRSorter_Contig_1709-cat_1	13152	1.3120	1.8053	1.6099	1.2963	5.7076	9.4366	1.6535	0.7662	5.5264	0.9541	1.3734	1.6619	1.0006	1.5632	0.8059
VIRSorter_Contig_4060-cat_1	12991	6.0718	5.4255	6.8183	7.7769	11.7389	8.5271	10.6468	8.2684	8.7468	6.1059	1.4794	2.6929	3.1761	12.1208	6.2289
VIRSorter_Contig_2641-cat_1	12883	0.8887	1.2894	3.4551	2.8619	1.4022	1.0828	5.3367	0.4375	8.3626	1.0812	0.4274	3.0497	1.3273	1.0927	0.9535
